FIPS,Incidence_Rate,Avg_Ann_Incidence,Recent Trend,StateFIPS,Mortality_Rate,Avg_Ann_Deaths,State,AreaName,All_Poverty,M_Poverty,F_Poverty,Med_Income,M_With,M_Without,F_With,F_Without,All_With,All_Without,POPESTIMATE2015
05077,57,8,stable,05,61.9,8,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05079,63.4,10,stable,05,59,9,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05081,79.5,14,stable,05,56.6,11,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05083,87,27,stable,05,70.4,22,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05085,91.9,62,stable,05,72.3,49,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05087,67.8,14,stable,05,58.5,12,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05089,82.7,26,stable,05,72.5,22,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05091,81.2,41,stable,05,73.1,36,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05093,73.6,36,stable,05,70.2,34,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05095,89.5,11,stable,05,70.9,9,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05097,67.5,11,stable,05,50.4,8,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05099,69.2,9,stable,05,76.1,10,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05101,63.9,9,stable,05,64.9,9,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05103,84,30,stable,05,55.8,20,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05105,98.8,14,stable,05,78.5,11,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05107,88.1,23,stable,05,90.8,23,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05109,87.8,13,stable,05,63.5,10,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05111,114,36,stable,05,103.5,33,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05113,67.1,22,stable,05,57.8,18,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05115,86.3,59,stable,05,72.5,49,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05117,89,12,stable,05,71.7,9,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05119,68,277,stable,05,54.7,223,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05121,83.9,21,stable,05,69.9,18,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05123,65.2,20,stable,05,54.4,16,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05125,73.9,100,stable,05,52,69,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05127,91.5,15,stable,05,63.5,10,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05129,72.1,10,stable,05,65.9,9,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
